reviewText,Sentiment
i enjoy vintage books and movies so i enjoyed reading this book.  the plot was unusual.  don't think killing someone in self-defense but leaving the scene and the body without notifying the police or hitting someone in the jaw to knock them out would wash today.still it was a good read for me.,Positive
"this book is a reissue of an old one; the author was born in 1910. it's of the era of, say, nero wolfe. the introduction was quite interesting, explaining who the author was and why he's been forgotten; i'd never heard of him.the language is a little dated at times, like calling a gun a &#34;heater.&#34;  i also made good use of my fire's dictionary to look up words like &#34;deshabille&#34; and &#34;canarsie.&#34; still, it was well worth a look-see.",Positive
"this was a fairly interesting read.  it had old- style terminology.i was glad to get  to read a story that doesn't have coarse, crasslanguage.  i read for fun and relaxation......i like the free ebooksbecause i can check out a writer and decide if they are intriguing,innovative, and have enough of the command of englishthat they can convey the story without crude language.",Positive
i'd never read any of the amy brewster mysteries until this one..  so i am really hooked on them now.,Positive
"if you like period pieces - clothing, lingo, you will enjoy this mystery.  author had me guessing at least 2/3 of the way through.",Positive
a beautiful in-depth character description makes it like a fast pacing movie. it is a pity mr merwin did not write 30 instead only 3 of the amy brewster mysteries.,Positive
"i enjoyed this one tho i'm not sure why it's called an amy brewster mystery as she's not in it very much. it was clean, well written and the characters well drawn.",Positive
"never heard of amy brewster. but i don't need to like amy brewster to like this book. actually, amy brewster is a side kick in this story, who added mystery to the story not the one resolved it. the story brings back the old times, simple life, simple people and straight relationships.",Positive
darth maul working under cloak of darkness committing sabotage now that is a story worth reading many times over.  great story.,Positive
"this is a short story focused on darth maul's role in helping the trade federation gain a mining colony. it's not bad, but it's also nothing exceptional. it's fairly short so we don't really get to see any characters develop. the few events that do happen seem to go by quickly, including what should have been major battles. the story is included in the novelshadow hunter (star wars: darth maul), which is worth reading, so don't bother to buy this one separately.",Positive
i think i have this one in both book and audio. it is a good story either way. good ol' maul.,Positive
title has nothing to do with the story.  i did enjoy it though.  good short story about darth maul setting up two corporations against each other.  all in the end to help darth sidious' rise to power.  won't take you long to read & it's cheap.  go for it.,Positive
well written. interesting to see sideous (through maul) maneuvering events to fit his plan. we see human nature at work. but no good guys to root for. even rurit is a helpless pawn.,Positive
"troy denning's novella recovery was originally published in e-book form and is a short tale set after the events of kathy tyers' balance point. han and leia solo's relationship was fractured early in the yuuzhan vong invasion by the death of someone in the family, and the books prior to recovery, notably the agents of chaos duology, spent time exploring han's journey to reclaim himself from his demons and leia's efforts to be patient with the process.  ms. tyers reunited the couple in balance point as the battle for duros commenced, but it is in this short story that they truly begin the emotional healing process.we start on corellia with a battle in a hospital and an appearance from han's rogue cousin thracken sal-solo. it's good to touch base on what sal-solo has been up to since he fired the centerpoint weapon earlier in the new jedi order. mr. denning uses this story to introduce a group of his preferred characters, a tight-knit group of saurian barabel jedi. here they are accompanied by an entertainingly non-conventional, salt-addicted arcona jedi as well as a human jedi, master eelysa, known for her lengthy and complicated solo missions. the barabel come into full play in mr. denning's own star by star and are memorable characters: it's welcome, if certainly not essential, to have their background more fully fleshed out here.in fact, the jedi provide the most entertaining aspect of recovery. the solo reactions to the explicitly non-human worldview of the barabel are genuinely funny, especially as they struggle to comprehend barabel humor. mr. denning handles the evolution of their relationship and concurrent healing capably enough, although no aspect of this jumps out at me as especially memorable. the final two chapters take the story on a race to coruscant to stop a potentially disastrous senate vote. this portion feels rushed, as if it was constrained by the limitations of being a short e-book, but it brings events to a satisfying close nevertheless.certainly not an essential read, recovery does flesh out aspects of the new jedi order and it worth a look to anyone reading that part of the saga, especially if you are a fan of mr. denning's later novels and want to get a bit more insight into the origin of a couple of his preferred jedi characters.",Positive
"i am not for sure on how much of a difference the short story has on the overall series (i haven't read on yet), but i would recommend that anyone buy it to help them understand the whole series better.p.s.- the series is one of the best of all the star wars series.",Positive
i really enjoyed the book. had the normal back against the wall moments. it even had laugh out loud moments.,Positive
great read enjoyed every minute of it .  i think it answers some questions that are out there about this series.,Positive
"another well written ebook by troy denning, but why is it put where it is? why not a part of balance point? it is well written and belongs in the new jedi order. i just don't think it should stand alone. it is fun and fast to read on my kindle, but not even in paperback????",Positive
this one promises to be another good book. i have been reading through the series and have not gotten this far yet.,Positive
"i have a version of ""star by star"" that does not include the novella ""recovery,"" so i downloaded this book onto my fire.  ""recovery"" tells of leia's recovery after she was nearly killed in ""balance point.""  if it was meant to tell the story of the healing of han and leia's relationship, it surely failed.  there was far too much action to attempt much more than a few brief moments or reconciliation.  they have a deeper understanding of each other but not much time to work on it.is it a necessary read?  not really.  i could have skipped it (i actually did) and not miss much.  it felt like the extraneous part of a book that had been edited out, like in the dvd's, where it's billed as the extras.  people pay to see those extras.  i did.  it was worth it, but probably not to everyone.",Negative
"excellent! very well written story, very exciting with lots of action. the bad guys trying to kill leia and han. viki shesh is introduced.",Positive
"with ylesia, a novella originally published in e-book form, walter jon williams gets an opportunity to insert further story into his novel destiny's way. the events of ylesia take place midway through that book, so this is a good read to tackle immediately after finishing destiny's way. the novella follows a new republic mission to the titular planet, which is serving as the capital of the traitorous peace brigade and houses their attempt at a senate. the peace brigade promote capitulation to the yuuzhan vong and have served as a human counterpoint to the efforts of the jedi and the more heroic members of the new republic throughout the new jedi order. they are a logical part of the story but not one i've found terribly interesting, as we rarely get anything told from their point-of-view, making them rather cardboard as adversaries.yleisa brings back thracken sal-solo in an entertaining plotline which sees him forcibly installed as the president of the peace brigade. this doesn't fit well with sal-solo's plans to better his own galactic situation but he displays a knack for adaption and survival not unlike that of his famous cousin han solo. ylesia itself, a major source of the drug spice in the star wars galaxy, will be familiar to readers of a. c. crispin's han solo trilogy, and it's nice to see it return.for the most part yleisa doesn't advance the story of destiny's way much: primarily, it delivers some closure to the peace brigade subplot. sal-solo was the most memorable aspect, as some of the space battle and ground assault material following the new republic's invasion of the system felt like material i've read an awful lot of times before.  ylesia is a solid enough little story but i would only recommend it to someone going through the entire new jedi order and wanting a little more.",Positive
great book couldn't put it down.  the story expands events in the new jedi order series.  good writer in walter jon williams.,Positive
"most of the new jedi order books focus on the solo kids, to the extent that some are viewed as ""jacen books"" or ""jania books."" the novella ylesia is if anything a book starring thrackan sal-solo. thrackan is forcibly recruited by the yuuzhan vong to become president of the peace brigade republic. however, the new republic forces also choose to attack ylesia. there's nothing new or terribly exciting in the novel, but it's a nice side story. it's written in a similar style asdestiny's way (star wars: the new jedi order, book 14), which isn't surprising as they're both by the same author. this short story actually takes place during the novel, so i'd recommend reading the novel first so ylesia doesn't spoil any surprises.",Positive
i was hoping to find this one in book form. the story looks like it will be good when i get that far in the series.,Positive
"the events of ""ylesia"" take place during ""destiny's way.""  if you've read ""destiny's way,"" you will see it mentioned in passing.jaina and jacen go to ylesia to fight the peace brigade to show them that it's not good to align themselves with the enemy.  from there, it is page after page of battle scenes.  it is endless.  one huge chapter.  it's like the chapter that was cut out for good reason.""ylesia"" doesn't advance ""destiny's way"" or ""the new jedi order"" in any way that i could tell.  we don't learn anything new.  there is no insight.  if i had skipped it, i wouldn't have missed anything.if you don't mind reading in pdf, ""ylesia"" is available free from del rey.  if you google, you'll see it linked to the wayback machine and it's still there.",Positive
"really shouldn't have han solo on the cover as he doesn't come into the story.this story is all about chewbacca and his family.i won't give anything away, but it is a nice, if short, read.",Positive
"originally published as an e-book coinciding with the release of the novel tatooine ghost, troy denning's a forest apart is a short story following chewbacca, his wife mallatobuck, and his son lumpy on a adventure into the bowels of coruscant. malla and lumpy are visiting chewie at his coruscant apartment when a break-in at the next-door solo place turns out to have more serious ramifications. the wookiees follow the burglars and end up unearthing an imperial plot set in place by an old tool of the villainous ysanne isard.there's a lot of action in a short space but not much time for meaningful character development. lumpy is a pre-teen striving to find his place in the world, and chewbacca's perpetual absence in his life may have left a gaping hole as far as having a father figure to look up to. there's not enough pages to explore this theme with much depth, and in the end the issue is dropped, since on a practical level lumpy can't live with his father chasing all over the galaxy anyway. the theme of the impact a wookiee life debt has on the wookiee holding it and on his/her family is an interesting one that could be explored in more detail with a longer story.unlike many novels which handle chewie's communications by having him grunt and then having a nearby character paraphrase what he said, denning makes the wise choice of letting the wookiees speak as normal characters and simply puts brackets to indicate they are actually using their native tongue. it's always enjoyable seeing chewbacca in action, and even though this story doesn't really add anything significant to the larger saga, it's an entertaining diversion.",Positive
this book was a good idea. i have always wanted to read more about chewbaccas son lumpy. though i do wish he would have added more to the ending. i would recommend this book to anyone who loves star wars and chewbacca.,Positive
"great short story. it gives a little more insight into the walking carpet we all love, this time as a father",Positive
i love anything with chewbacca in it.  him and his family is just a bonus.  kind of nice to see him having problems with his son.,Positive
"a great little chapter to read on my kindle, but not necessarily worth the price. it would have been a nice addition to the courtship of princess leia or an add on to tatooine ghost. i liked it, but when it doesn't even rate being published as a paperback; an avid star wars fan you will need to be to download and read this ebook.",Positive
i love the stories with chewie in them! this e-book is no exception. great character introductions and wonderful story line.,Positive
i'm not really sure where it actually fits into the overall story line.this story involves only chewie and his wife and son.  the other characters are only mentioned in passing.  it was enjoyable and well written but i was glad it was very short and didn't keep me from the main story for very long.,Positive
